Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;valor m2;Tipo Agregado
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;54.620253164556964;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;20.0;Apartamento
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;36.111111111111114;Apartamento
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;30.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;17.857142857142858;Apartamento
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0;20.0;Apartamento
Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0;53.84615384615385;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;4;1000;30000.0;2695.0;23715.0;30.0;Casa
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;18.072289156626507;Apartamento
Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0;11.11111111111111;Apartamento
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;70.0;Apartamento
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;26.31578947368421;Apartamento
Casa de Vila;Jardim Sulacap;2;1;2;115;1600.0;1.0;60.0;13.91304347826087;Casa
Apartamento;Leblon;4;2;2;200;11000.0;2900.0;580.0;55.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;30.158730158730158;Apartamento
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;39.0;Apartamento
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;45.45454545454545;Apartamento
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;37.5;Apartamento
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;43.75;Apartamento
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;55.172413793103445;Apartamento
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;0.0;0.0;20.0;Casa
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;23.80952380952381;Apartamento
Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;1800.0;92.0;46.0;11.042944785276074;Casa
Quitinete;Copacabana;1;0;0;30;1300.0;370.0;30.0;43.333333333333336;Apartamento
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;43.75;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;50.0;Apartamento
Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;22.5;Apartamento
Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0;40.17857142857143;Apartamento
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;15.0;Apartamento
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;37.333333333333336;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0;26.41509433962264;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;21.21212121212121;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;40.69767441860465;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;21.25;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;18.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;32.467532467532465;Apartamento
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;11.11111111111111;Apartamento
Casa;Grajaú;5;4;2;450;7000.0;0.0;500.0;15.555555555555555;Casa
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;30.201342281879196;Apartamento
